id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_user,Can add user
14,4,change_user,Can change user
15,4,delete_user,Can delete user
16,4,view_user,Can view user
17,5,add_contenttype,Can add content type
18,5,change_contenttype,Can change content type
19,5,delete_contenttype,Can delete content type
20,5,view_contenttype,Can view content type
21,6,add_session,Can add session
22,6,change_session,Can change session
23,6,delete_session,Can delete session
24,6,view_session,Can view session
25,7,add_todo,Can add todo
26,7,change_todo,Can change todo
27,7,delete_todo,Can delete todo
28,7,view_todo,Can view todo
29,8,add_master,Can add master
30,8,change_master,Can change master
31,8,delete_master,Can delete master
32,8,view_master,Can view master
33,9,add_doc,Can add doc
34,9,change_doc,Can change doc
35,9,delete_doc,Can delete doc
36,9,view_doc,Can view doc
37,10,add_product,Can add product
38,10,change_product,Can change product
39,10,delete_product,Can delete product
40,10,view_product,Can view product
41,11,add_note,Can add note
42,11,change_note,Can change note
43,11,delete_note,Can delete note
44,11,view_note,Can view note
45,12,add_notei,Can add notei
46,12,change_notei,Can change notei
47,12,delete_notei,Can delete notei
48,12,view_notei,Can view notei
49,13,add_noteitem,Can add note item
50,13,change_noteitem,Can change note item
51,13,delete_noteitem,Can delete note item
52,13,view_noteitem,Can view note item
53,14,add_ponote,Can add po note
54,14,change_ponote,Can change po note
55,14,delete_ponote,Can delete po note
56,14,view_ponote,Can view po note
57,15,add_ponoteitem,Can add po note item
58,15,change_ponoteitem,Can change po note item
59,15,delete_ponoteitem,Can delete po note item
60,15,view_ponoteitem,Can view po note item
61,16,add_psnote,Can add ps note
62,16,change_psnote,Can change ps note
63,16,delete_psnote,Can delete ps note
64,16,view_psnote,Can view ps note
65,17,add_psnoteitem,Can add ps note item
66,17,change_psnoteitem,Can change ps note item
67,17,delete_psnoteitem,Can delete ps note item
68,17,view_psnoteitem,Can view ps note item
69,18,add_client,Can add client
70,18,change_client,Can change client
71,18,delete_client,Can delete client
72,18,view_client,Can view client
73,19,add_note,Can add note
74,19,change_note,Can change note
75,19,delete_note,Can delete note
76,19,view_note,Can view note
77,20,add_noteitem,Can add noteitem
78,20,change_noteitem,Can change noteitem
79,20,delete_noteitem,Can delete noteitem
80,20,view_noteitem,Can view noteitem
81,21,add_notekey,Can add notekey
82,21,change_notekey,Can change notekey
83,21,delete_notekey,Can delete notekey
84,21,view_notekey,Can view notekey
85,22,add_notetype,Can add notetype
86,22,change_notetype,Can change notetype
87,22,delete_notetype,Can delete notetype
88,22,view_notetype,Can view notetype
89,23,add_product,Can add product
90,23,change_product,Can change product
91,23,delete_product,Can delete product
92,23,view_product,Can view product
93,24,add_po,Can add po
94,24,change_po,Can change po
95,24,delete_po,Can delete po
96,24,view_po,Can view po
97,25,add_poitem,Can add po item
98,25,change_poitem,Can change po item
99,25,delete_poitem,Can delete po item
100,25,view_poitem,Can view po item
101,26,add_noteitemkey,Can add noteitemkey
102,26,change_noteitemkey,Can change noteitemkey
103,26,delete_noteitemkey,Can delete noteitemkey
104,26,view_noteitemkey,Can view noteitemkey
105,27,add_status,Can add status
106,27,change_status,Can change status
107,27,delete_status,Can delete status
108,27,view_status,Can view status
109,28,add_soitem,Can add so item
110,28,change_soitem,Can change so item
111,28,delete_soitem,Can delete so item
112,28,view_soitem,Can view so item
113,29,add_so,Can add so
114,29,change_so,Can change so
115,29,delete_so,Can delete so
116,29,view_so,Can view so
117,30,add_woitem,Can add wo item
118,30,change_woitem,Can change wo item
119,30,delete_woitem,Can delete wo item
120,30,view_woitem,Can view wo item
121,31,add_coitem,Can add co item
122,31,change_coitem,Can change co item
123,31,delete_coitem,Can delete co item
124,31,view_coitem,Can view co item
125,32,add_wo,Can add wo
126,32,change_wo,Can change wo
127,32,delete_wo,Can delete wo
128,32,view_wo,Can view wo
129,33,add_co,Can add co
130,33,change_co,Can change co
131,33,delete_co,Can delete co
132,33,view_co,Can view co
133,34,add_invitem,Can add invitem
134,34,change_invitem,Can change invitem
135,34,delete_invitem,Can delete invitem
136,34,view_invitem,Can view invitem
137,35,add_invcontrol,Can add inv control
138,35,change_invcontrol,Can change inv control
139,35,delete_invcontrol,Can delete inv control
140,35,view_invcontrol,Can view inv control
141,36,add_inv,Can add inv
142,36,change_inv,Can change inv
143,36,delete_inv,Can delete inv
144,36,view_inv,Can view inv
