id,app_label,model
1,admin,logentry
2,auth,permission
3,auth,group
4,auth,user
5,contenttypes,contenttype
6,sessions,session
7,todo,todo
8,todo,master
9,todo,doc
10,todo,product
11,todo,note
12,todo,notei
13,todo,noteitem
14,todo,ponote
15,todo,ponoteitem
16,todo,psnote
17,todo,psnoteitem
18,note,client
19,note,note
20,note,noteitem
21,note,notekey
22,note,notetype
23,note,product
24,note,po
25,note,poitem
26,note,noteitemkey
27,note,status
28,note,soitem
29,note,so
30,note,woitem
31,note,coitem
32,note,wo
33,note,co
34,note,invitem
35,note,invcontrol
36,note,inv
