id,app,name,applied
1,contenttypes,0001_initial,2022-03-21 17:57:24.409821
2,auth,0001_initial,2022-03-21 17:57:24.667749
3,admin,0001_initial,2022-03-21 17:57:24.936952
4,admin,0002_logentry_remove_auto_add,2022-03-21 17:57:25.081656
5,admin,0003_logentry_add_action_flag_choices,2022-03-21 17:57:25.228031
6,contenttypes,0002_remove_content_type_name,2022-03-21 17:57:25.433943
7,auth,0002_alter_permission_name_max_length,2022-03-21 17:57:25.603943
8,auth,0003_alter_user_email_max_length,2022-03-21 17:57:25.792946
9,auth,0004_alter_user_username_opts,2022-03-21 17:57:25.968945
10,auth,0005_alter_user_last_login_null,2022-03-21 17:57:26.158951
11,auth,0006_require_contenttypes_0002,2022-03-21 17:57:26.305490
12,auth,0007_alter_validators_add_error_messages,2022-03-21 17:57:26.455050
13,auth,0008_alter_user_username_max_length,2022-03-21 17:57:26.588196
14,auth,0009_alter_user_last_name_max_length,2022-03-21 17:57:26.772691
15,auth,0010_alter_group_name_max_length,2022-03-21 17:57:26.968805
16,auth,0011_update_proxy_permissions,2022-03-21 17:57:27.166153
17,auth,0012_alter_user_first_name_max_length,2022-03-21 17:57:27.320487
18,note,0001_initial,2022-03-21 17:57:27.552425
19,sessions,0001_initial,2022-03-21 17:57:27.850029
20,note,0002_noteitem_is_final,2022-03-22 15:20:14.597081
21,note,0003_alter_note_notetype,2022-03-22 15:45:01.653531
22,note,0004_note_is_final,2022-03-22 16:12:29.624774
23,note,0005_status,2022-03-22 17:27:58.967873
24,note,0006_note_status,2022-03-22 17:42:09.587487
25,note,0007_noteitem_created_on_noteitem_weight_and_more,2022-03-24 16:45:34.672312
26,note,0008_so_soitem,2022-03-25 02:17:05.915859
27,note,0009_noteitem_notetypekey,2022-03-26 02:56:57.937634
28,note,0010_alter_note_notetype_alter_noteitem_notetypekey,2022-03-28 06:28:32.310234
29,note,0011_co_coitem_wo_woitem,2022-03-31 09:34:40.433345
30,note,0012_invitem_invcontrol,2022-04-01 14:24:58.562830
31,note,0013_invcontrol_invitem_invcontrol_noteitem,2022-04-01 14:24:58.756665
32,note,0014_alter_invcontrol_invitem,2022-04-01 14:24:58.932083
33,note,0015_rename_invitem_invcontrol_invitem,2022-04-01 14:47:10.739740
34,note,0012_inv_invcontrol,2022-04-01 22:29:28.509034
